Log Kw	S
3.4734578320	0.8557135247
3.5108575782	0.8674055458
3.2238657733	0.7726948257
3.5400205229	0.8723823462
3.2889957840	0.7934687908
3.5151153564	0.8634755621
4.7620358676	1.1991831399
4.5810067886	1.1275024850
4.6765970754	1.1539998812
4.6030598893	1.1443790028
4.6615680414	1.1591485037
2.9507262056	0.6841859281
3.1869268433	0.7622645037
3.2729058951	0.7892243105
3.7547118993	0.9285776032
4.1738263869	1.0504451159
4.1709693337	1.0472627196
3.9718834568	0.9845192579
4.6370788275	1.1501159398
4.3720451111	1.0975946469
4.2451681789	1.0675603499
2.9367205297	0.6820443038
4.2737650450	1.0713362911
4.2856542192	1.0748614129
4.4854630293	1.1055824640
4.4911417295	1.1204342979
3.1618340102	0.7578986126
3.9360754346	0.9916278455
3.0060151262	0.7070211615
4.0471888050	1.0107247176
3.5965696506	0.8850947331
3.6387075973	0.8942986689
3.9395183852	0.9844125371
4.4854630293	1.1055824640
4.0826165374	1.1093410778
4.0923208505	1.0272208162
4.3619433866	1.1123845355
4.1655328043	1.0524754116
4.0741147529	1.0504547299
4.0644873408	1.0205921019
4.2269267632	1.0667672419
3.9136347169	0.9904094011
4.0136945782	0.9915512457
4.0978827294	1.0069607185
3.9262596012	0.9636789366
4.1231322834	1.0257226251
3.9881408559	0.9960671295
3.4076930052	0.8094012128
3.7049519862	0.9077969104
3.4500378119	0.8296050069
3.7130485907	0.9067955913
3.7888584427	0.9304447892
3.7711277241	0.9245015656
3.4535953141	0.8431532466
3.4492581495	0.8380530421
3.6235227169	0.8871626611
3.4272179991	0.8336220759
3.5568991786	0.8532311288
3.4402116435	0.8192549737
3.8214729426	0.9572001592
4.1414898276	1.0358806419
3.9395183852	0.9844125371
3.6273295581	0.8739220176
